block,logIndex,transactionHash,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick,price,raw_price,is_zero_for_one,volume_token0,volume_token1,gas_used,gas_price
28072365,4,0xc59bef40ec0e57c2ebd368f62f84b8808a0b48a384151c1991d23db48591c274,0x92EBbBC944A7fB990976531cA642DaB1B12d70d1,0x92EBbBC944A7fB990976531cA642DaB1B12d70d1,119018338577,-77247616,2018049962827488501776771949,3430697874500,-73408,1541.328961693007,0.0006487907674826227,True,119018338577,77247616,,
28072596,258,0x16996602112423e7ce76a2dc42317b7052959b60a4f778943abf460f9351ad3c,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x23a7e5b6f0957094FaBA7328194781246Eba2103,780000000000,-502892900,2006436209034552498376796842,3430697874500,-73524,1559.2237959360718,0.0006413447528227693,True,780000000000,502892900,,
28108764,166,0xa7fce0e7fc6c96b6dc618f6700f507375e956b382e4594605ec9c59ff3c7675b,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x23a7e5b6f0957094FaBA7328194781246Eba2103,1000000000000,-640778298,2005666898820523305950631829,65991177837797,-73531,1560.4201629330985,0.0006408530367361538,True,1000000000000,640778298,,
28108815,228,0x61460e5b97c829821d52164bcf7717b4c859e9a04f11c77663dbd7d451103903,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x23a7e5b6f0957094FaBA7328194781246Eba2103,-1558707381033,1000000000,2006866885713129597648685249,65991177837797,-73519,1558.5546441596143,0.0006416201085713029,False,1558707381033,1000000000,,
28108886,229,0x3cbd793ff2060df2b01c744f4ede28ea2bad9612bcc720a03652ca36855e82fe,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x23a7e5b6f0957094FaBA7328194781246Eba2103,-225028060847,144467235,2007040244501081445955185214,65991177837797,-73518,1558.285414406032,0.0006417309632466576,False,225028060847,144467235,,
28109015,174,0xa8a90cec8f71aec7904868901edb7ad7c4fe7c1152784f9c1c7f5a4e2a962040,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x23a7e5b6f0957094FaBA7328194781246Eba2103,1300000000000,-833417427,2006039654216576570838828950,65991177837797,-73528,1559.8403129844187,0.0006410912653531279,True,1300000000000,833417427,,
28109904,654,0x69b4f3111ccc2614b022c9e2435f4d89d027a4d4389e942609ecf38308061269,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x34B79d1E76441E52489A83EcE387986Fcd5cA6B4,-15590510667,10000000,2006051654085502633755809484,65991177837797,-73527,1559.8216516271405,0.0006410989352256022,False,15590510667,10000000,,
28109980,559,0xe274d7ffe53eb1c44c3bc1c43f83029c4fb71b40c58a6432fda100da02d0b099,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x34B79d1E76441E52489A83EcE387986Fcd5cA6B4,-529966406047,340000000,2006459649628988772933147646,65991177837797,-73523,1559.1873646834933,0.0006413597381883572,False,529966406047,340000000,,
28110127,457,0xe893a52a9a5e10c37025fb3670b3bdc96b149e7d6a9210b636f489b87962e9d4,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x34B79d1E76441E52489A83EcE387986Fcd5cA6B4,547000000000,-350574809,2006038754005149435413211946,65991177837797,-73528,1559.8417129438028,0.0006410906899731226,True,547000000000,350574809,,
28110584,213,0x7a62e9e9a53a23faa6bbbddcbb41b17bd3763b6e5ae910b3983c7d502007fd2d,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-1998679753380,1282959823,2007578288976383671452854285,65991177837797,-73512,1557.450264403911,0.0006420750780011161,False,1998679753380,1282959823,,
28112631,101,0x3404317046ce262f5eaaf7e3166b71fc59a2994529b1e34f86914edc68b1579d,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,1200000000000,-769840006,2006887875266031714239985761,88342696905992,-73519,1558.5220432410608,0.000641633529879646,True,1200000000000,769840006,,
28112698,393,0x2f8448b2f11ebab5d3f26b7bfd594920254fcb86605c1de4f229eb3f1c079dca,0x6Ea77f83eC8693666866ecE250411C974aB962a8,0x1111111254EEB25477B68fb85Ed929f73A960582,-15468317221,9930000,2006896776310639584101049255,88342696905992,-73519,1558.5082184707694,0.0006416392214993992,False,15468317221,9930000,,
28142887,486,0x28c9cd4e2daa62b0f4b76dc1f46b010897f0befa06a446f0c8ee60402cfb185a,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-567336850108,364730000,2009774928124875972126744677,10035064560218,-73490,1554.04760816508,0.0006434809298929625,False,567336850108,364730000,,
28152272,518,0x144ed3e4ae00acdd298fb75bfaaa0d75187730e91421587d76747f3f923af18c,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-505656914640,325960000,2012347138706315648163417503,10035064560218,-73465,1550.0773359410234,0.0006451291021508411,False,505656914640,325960000,,
28202635,564,0x253e346733b4462a51179e4af330ce6e681980b0c12df63211d28304ca7d62f9,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-595628553588,385030000,2015385481570997567614884365,10035064560218,-73435,1545.407146172419,0.0006470786695122679,False,595628553588,385030000,,
28369421,370,0x34801c713abe898652094d674f97cc32cdffce76a24cefed5366ab4693ac20a6,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-605875817785,392450000,2016436521643480911482889874,29568373886169,-73424,1543.7965211878734,0.0006477537591745255,False,605875817785,392450000,,
28378633,668,0x9ec880260e1f2190149acd75459f9dbc8556d5e5aa7c9e3be72c5ce69ffc6e69,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-604982496792,392280000,2017487106430418779064852420,29568373886169,-73414,1542.189108834727,0.0006484289081483636,False,604982496792,392280000,,
28394512,313,0x3818d81827c6d5a3974b752359a9964e81c7f6763451cb572639bdc75606d995,0x6Ea77f83eC8693666866ecE250411C974aB962a8,0x1111111254EEB25477B68fb85Ed929f73A960582,-125497938103,81426000,2017705177494100850049171993,29568373886169,-73412,1541.8557710911336,0.0006485690936528547,False,125497938103,81426000,,
28409654,454,0xbee99376c23ed885c762c45b8b896431f5ed08a11a1d265ae3bce840848af325,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-19787192156,12840000,2017739564943535647183240513,29568373886169,-73411,1541.8032171971795,0.000648591200774561,False,19787192156,12840000,,
28410021,212,0x134e36d9c43cb6c134a034656a689b47d75cb0ed670fd46693167def43cfa361,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x3CEBfEfbda10326A2a5B4aEb33A0FEffe2bA14D7,-1556440552,1010000,2017742269875305829823848706,29568373886169,-73411,1541.799083398951,0.0006485929397463801,False,1556440552,1010000,,
28445404,605,0xaa11d1a7f6f1ff2a0f10150aa8b8152fa8ae500ba9d4c2ffc1b04b5eec3fa1cc,0x6Ea77f83eC8693666866ecE250411C974aB962a8,0x1111111254EEB25477B68fb85Ed929f73A960582,1152089243,-746862,2017740268664456535472831794,29568373886169,-73411,1541.8021417376592,0.0006485916531890199,True,1152089243,746862,,
28497905,337,0x35d3424d12faf9cc9a73630655786d5b3321d71dd311228d1c7f8d8f48ded93c,0x6Ea77f83eC8693666866ecE250411C974aB962a8,0x1111111254EEB25477B68fb85Ed929f73A960582,-30512263,19800,2017740321691563883121366592,29568373886169,-73411,1541.802060699177,0.0006485916872795718,False,30512263,19800,,
28532206,275,0x06f0267198db8a1b86603afcdd1d200844fc153d0555efb32831fa46f3c2648d,0x6Ea77f83eC8693666866ecE250411C974aB962a8,0x1111111254EEB25477B68fb85Ed929f73A960582,-107107025515,69510000,2017931731869588243553771278,28235905487722,-73409,1541.5095804277514,0.00064871474864432,False,107107025515,69510000,,
28615052,372,0xfbe01abc536172f9ee4aaa35d94c1f87c891e207410f8dd4bdab4956d84a3565,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,-769834452534,500000000,2019333998718573151619999587,28235905487722,-73395,1539.3694121831122,0.0006496166495745904,False,769834452534,500000000,,
28615180,239,0x0e07ec65ded3dab3c69d2e3116e0609bb208d48092e48cfe3a9f7a467024da23,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,2769834450000,-1794045235,2014442739971947361747187294,28235905487722,-73444,1546.8539587206956,0.0006464734400828869,True,2769834450000,1794045235,,
28618069,660,0xa556183934193c8f20f9664c7cfc755eac9687d5bc8d0d10d1987aee77da0918,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,3000000002534,-1933230721,2009018217005919235357835175,28235905487722,-73498,1555.2185149914844,0.0006429964602147727,True,3000000002534,1933230721,,
28618396,311,0xcafb21520c1339a27986e62a6861a0857239a922a68fa0b08ae1b049c29418f3,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,3000000000000,-1914407691,1994379538713455557723141903,10035064560218,-73644,1578.1328050423108,0.0006336602323992557,True,3000000000000,1914407691,,
28627481,365,0x6f19f1cb48f5c856bed3c65cef204c488b9fcacc9917784a6df0de2eaa47fad0,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,3000000000000,-1893028821,1987030487235809858364408614,20408238473439,-73718,1589.8278711691537,0.0006289989112246494,True,3000000000000,1893028821,,
28657835,970,0x40ac3ee1eb73f43888fb174da6361b6294747ab29abcce0abd85c15db632d922,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,3000000000000,-1869489884,1969580352539857601495042373,8487971638596,-73894,1618.1238563737054,0.0006179996642785114,True,3000000000000,1869489884,,
28657923,248,0xe82aa40fd807882cc2945535ea0e12ce23403542b721ddb236140d2987e8a554,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1000000000000,-615887752,1963831552118865651391150191,8487971638596,-73953,1627.6113162798717,0.0006143973011232416,True,1000000000000,615887752,,
28658508,362,0x1671e5cde2c41690ced716c93126aa23d231b431ef693b2b8eaf38493572fd71,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1000000000000,-612585437,1959019704112636445961236451,10086357371625,-74002,1635.6167862751092,0.0006113901547057129,True,1000000000000,612585437,,
28675869,456,0x4ceefce7bd9c8ff043adbdd59c99624154a72303d05ac9fc6e6c24aaf1aaf4fd,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-605756673242,371090000,1961933152184650405421414367,10086357371625,-73972,1630.7626490472967,0.0006132100220618906,False,605756673242,371090000,,
28681898,607,0x8e617b2b82851115b7466ef119105f540dad8f4264ea6ed2809334ef8d3c0102,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-613028208940,376670000,1964890409144647975040280991,10086357371625,-73942,1625.8575865989706,0.0006150600201656267,False,613028208940,376670000,,
28818996,328,0x8777489695975688bbc7c237a2a9ed6cbee4ace2a0c61de3a0ee11daac42e78a,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-636377696018,392220000,1967969750012915282646174392,10086357371625,-73911,1620.773511756856,0.0006169893527665309,False,636377696018,392220000,,
28908352,467,0x6b9b2f731437a75dac2ff3d3df1be2e5da302f146187a2bc496939692d1e4e31,0xC7D3AB410d49b664D03Fe5B1038852ac852b1B29,0xC7D3AB410d49b664D03Fe5B1038852ac852b1B29,-8042956794,4965000,1968008730498026971310195544,10086357371625,-73910,1620.7093068465072,0.0006170137949943341,False,8042956794,4965000,,
28919359,254,0xf81a1faf2593e17910c37193130a4d3e6cb06a7af797904be1c9cc09dbeef335,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x5d51EE4c2C9c45c2D1e98D8F26e060184870aEF8,-8099333206,5000000,1968047985773997948154898687,10086357371625,-73910,1620.644653182508,0.0006170384100155887,False,8099333206,5000000,,
28919370,202,0x324c56b11d1999fac740a6d663b974a248b5bf573bc403a89d6abb2fd39a2742,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0x5d51EE4c2C9c45c2D1e98D8F26e060184870aEF8,-8099010108,5000000,1968087241049968924999601830,10086357371625,-73910,1620.5800033871972,0.000617063025527827,False,8099010108,5000000,,
28964850,673,0xd188658cf36cd5b15d5a05d36d4619740739f5297b8236fc79c0016fe77ef0ea,0xC7D3AB410d49b664D03Fe5B1038852ac852b1B29,0xC7D3AB410d49b664D03Fe5B1038852ac852b1B29,-40400330721,24944504,1968283081721789225108140291,10086357371625,-73908,1620.257529764982,0.0006171858372076503,False,40400330721,24944504,,
29008008,518,0x1ab0bf3d4020963187771cfe161343f3f0e9765030d35e6bf4f4fa7f2617b33b,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-617284095652,381750000,1971280222042173307201225309,10086357371625,-73877,1615.3343864458573,0.0006190668683777927,False,617284095652,381750000,,
29027810,620,0xf212c53d1decd771ae7637b8d92cc825ba7a451773d71181ee7b0d4120bbda98,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xB547A0c155068ac2c854A65B00b18C076efB9353,-617357545053,382960000,1974286862139342365690728488,10086357371625,-73847,1610.4181495251057,0.0006209567374131301,False,617357545053,382960000,,
29050992,277,0x1a8ac7c2af068444e647ac45b1543ee80808dd8a1a262d854c8bf143848c584d,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,-763124672494,475000000,1978016113356585165937527135,10086357371625,-73809,1604.3514724880956,0.0006233048163998367,False,763124672494,475000000,,
29051060,540,0xf5dee07b9f921010d796656543206112221c4ca77e73312709d69c3dead8d7be,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,-760252574328,475000000,1981745364573827966184325782,10086357371625,-73771,1598.3190120603579,0.0006256573265126353,False,760252574328,475000000,,
29228585,215,0x7f65a8f24a7da5b246def7ef32040c154cb13754da2ca97a309f6d9e270ce940,0x85CD07Ea01423b1E937929B44E4Ad8c40BbB5E71,0x85CD07Ea01423b1E937929B44E4Ad8c40BbB5E71,-3838799664,2402998,1981764230639822160942044767,10086357371625,-73771,1598.2885807426817,0.0006256692389901996,False,3838799664,2402998,,
29268354,642,0x36798c02baa0a82d12061a11103dd4ca2a2977fb0721656549f5a877efd9c8b7,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1800000000000,-1120641641,1972961609946950945298329904,10086357371625,-73860,1612.5823345295764,0.0006201233751526372,True,1800000000000,1120641641,,
29268859,215,0xf66b10972061bc20baf73a0b622abbe7f59a57dc9edd0314282edbd098684123,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xdEBfF8c67Ac76153efD09220502c5D7D016cF29c,-1507343652105,938700000,1980331395457742138122898094,10086357371625,-73786,1600.6022466176066,0.0006247648359317254,False,1507343652105,938700000,,
29269626,485,0x1ce528e2403c133167bf998959db360e6a81b1f695f3d9cf0c03bc18530f5caa,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1507343000000,-937762875,1972965284308109274635183032,10086357371625,-73860,1612.5763281346092,0.0006201256849384468,True,1507343000000,937762875,,
29269729,207,0xfcf4793f2761ce5ea16f394959230104da39d39058123e9611a3a35f43ba0553,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xdEBfF8c67Ac76153efD09220502c5D7D016cF29c,-1605381716484,1000000000,1980816339502304643575811764,10086357371625,-73781,1599.818622718039,0.0006250708585333461,False,1605381716484,1000000000,,
29271864,1160,0x3b45f5973c91113b78723cfa43d84180bb4e9e24acc4b28d5cf099f2915767ef,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1605382000000,-999002405,1972969192904105730139241589,10086357371625,-73860,1612.569938878092,0.0006201281419742494,True,1605382000000,999002405,,
29272368,516,0x7b5cb4caaa2670b78c164c34a4b615415db251f48203cdefc47b01152ec7de4f,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xdEBfF8c67Ac76153efD09220502c5D7D016cF29c,-1605151506478,999860000,1980819148950573911728218633,10086357371625,-73781,1599.8140845909963,0.0006250726316462309,False,1605151506478,999860000,,
29272837,590,0xad9fd901162166aa100b48f778cad4ff78099605439ac79dba8b6c3166e611e9,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1594673367232,-992367635,1973024118356782839551131688,10086357371625,-73859,1612.4801580181304,0.0006201626699264824,True,1594673367232,992367635,,
29281713,460,0x952236ea51759b86004fe737cf2d2b71cf43133b67471e8470fe7a69ee07deae,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,-803899740771,499790000,1976947997232289742993968521,10086357371625,-73820,1606.085556141103,0.0006226318368759084,False,803899740771,499790000,,
29305396,304,0x8b13f4e1f27c112642a1c1c2a04d07a18196f3cd7f0219a0861cc77699f60e9f,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,1600000000000,-991789064,1969157511300917730181807196,10086357371625,-73899,1618.8188571068774,0.0006177343410659183,True,1600000000000,991789064,,
29305600,284,0xc95bc25ca4b2760a88c46f3926c339476fbd240b9dd71fb03dbf2901d7e5983e,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xCEF2C867afb682e0A325E6C09211Dfee1f65A4b6,400000000000,-246727122,1967219474026065683231477724,10086357371625,-73918,1622.0100380843292,0.0006165189958879955,True,400000000000,246727122,,
29305961,348,0x8c000a9e1463f1cb3674c10ae2fc0f33f3e4d3a396c73d11c2dfc10ae771bf20,0x6Cb442acF35158D5eDa88fe602221b67B400Be3E,0xA28368E6ff479fc0F3B4Ef66B0AeBb58F463F33D,-2416975004032,1499780000,1978994329585216013661253883,10086357371625,-73799,1602.7658037009137,0.0006239214723017676,False,2416975004032,1499780000,,
